timestamp,step,qed,logp,l2_distance
2026-04-28T18:20:54Z,8,0.6808,0.7258,0.0593
2026-04-28T18:20:54Z,9,0.6489,0.6982,0.0624
2026-04-28T18:20:54Z,10,0.6287,0.6808,0.0652
2026-04-28T18:20:54Z,11,0.6145,0.6686,0.0675
2026-04-28T18:20:54Z,12,0.6008,0.657,0.0695
2026-04-28T18:20:54Z,13,0.5858,0.6441,0.0712
2026-04-28T18:20:54Z,14,0.5713,0.6318,0.0726
2026-04-28T18:20:54Z,15,0.56,0.6223,0.0738
2026-04-28T18:20:54Z,16,0.5532,0.6166,0.0748
2026-04-28T18:20:54Z,17,0.5496,0.6134,0.0757
2026-04-28T18:20:54Z,18,0.5504,0.614,0.0765
2026-04-28T18:20:54Z,19,0.5558,0.6186,0.0773
2026-04-28T18:20:54Z,20,0.5647,0.6263,0.0779
2026-04-28T18:20:54Z,21,0.5742,0.6345,0.0784
2026-04-28T18:20:54Z,22,0.582,0.6412,0.0788
2026-04-28T18:20:54Z,23,0.5854,0.6442,0.0791
2026-04-28T18:20:54Z,24,0.5863,0.6451,0.0792
2026-04-28T18:20:54Z,25,0.5873,0.6461,0.0793
2026-04-28T18:20:54Z,26,0.5901,0.6485,0.0794
2026-04-28T18:20:54Z,27,0.5957,0.6531,0.0794
2026-04-28T18:20:54Z,28,0.604,0.6602,0.0794
2026-04-28T18:20:54Z,29,0.6138,0.6685,0.0794
2026-04-28T18:20:54Z,30,0.6213,0.6751,0.0792
2026-04-28T18:20:54Z,31,0.6262,0.6794,0.0791
2026-04-28T18:20:54Z,32,0.6281,0.6811,0.0788
2026-04-28T18:20:54Z,33,0.6278,0.6809,0.0786
2026-04-28T18:20:54Z,34,0.6266,0.6799,0.0783
2026-04-28T18:20:54Z,35,0.6257,0.679,0.078
2026-04-28T18:20:54Z,36,0.6262,0.6794,0.0777
2026-04-28T18:20:54Z,37,0.629,0.6818,0.0774
2026-04-28T18:20:54Z,38,0.6335,0.6857,0.0771
2026-04-28T18:20:54Z,39,0.6388,0.6902,0.0768
2026-04-28T18:20:54Z,40,0.6438,0.6944,0.0764
2026-04-28T18:20:54Z,41,0.6475,0.6977,0.076
2026-04-28T18:20:54Z,42,0.6502,0.7,0.0756
2026-04-28T18:20:54Z,43,0.6529,0.7024,0.0751
2026-04-28T18:20:54Z,44,0.6564,0.7055,0.0747
2026-04-28T18:20:54Z,45,0.6613,0.7097,0.0742
2026-04-28T18:20:54Z,46,0.6674,0.7151,0.0737
2026-04-28T18:20:54Z,47,0.6744,0.7211,0.0732
2026-04-28T18:20:54Z,48,0.6813,0.7271,0.0727
